location,latitude,longitude
Whitehouse Upper,51.5173585,-1.5456494
Shelf,53.7537088,-1.8158982
Pains Hill,52.1945669,1.0978376
Little Green,52.4959178,1.1313988
Groomsport,54.6748519,-5.6180066
Godalming,51.1857892,-0.6149074
Pontypridd,51.6001047,-3.3449362
Penycae,53.0009222,-3.076666
Peterchurch,52.0404061,-2.9536966
Robertstown,53.2697889,-6.8161946
Sidcup,51.4264002,0.101044
Nuneaton,52.5227973,-1.4679663
Farnham,51.2151749,-0.7984854
Preston Fields,52.1602374,-1.7414072
Llwydarth,51.5994694,-3.6472708
Burghead,57.7016831,-3.4901659
Blackfen,51.4505408,0.1030617
Pencoed,51.5256116,-3.506453
Ballycarry,54.7772868,-5.7256699
Pyrford Village,51.3148713,-0.5080968
Norbridge,52.1038693,-2.4141276
Penderyn,51.7687508,-3.5269801
Rhigos,51.7390226,-3.5636396
Forres,57.609864,-3.613215
Old Arley,52.5131924,-1.5847807
Ocle Pychard,52.1116981,-2.5903466
Tylorstown,51.6481353,-3.4296803
Merehead,52.9433385,-2.8146581
Pentre Maelor,53.033745,-2.9347569
No Man's Heath,52.6772443,-1.5726082
Lochhill,54.8936219,-4.0757872
Price Town,51.6181679,-3.5360704
Bishopbriggs,55.9039659,-4.2244495
Parham,52.1951933,1.3739492
Newton Regis,52.6636359,-1.5912951
Kirkistown,55.1382346,-6.6076289
Norwich,52.6285576,1.2923954
Buckie,57.6763316,-2.9648866
Regent's Park,51.530107,-0.1537691
Park Lane,51.5110831,-0.1570975
Nacton,52.0154281,1.2335833
Orcop,51.9317382,-2.7653335
Portfield,56.3711805,-5.6997043
Painters Green,52.963012,-2.7408673
Pontycymer,51.6088629,-3.5797523
Kennington,51.4882861,-0.1058829
Highbury,51.5457996,-0.1027127
Balmore,55.9346593,-4.2389935
Marypark,57.4297748,-3.3423989
Skegoniel,54.6238036,-5.931615
Cloghy,54.4283218,-5.4809287
New Broughton,53.0580787,-3.0324199
Maesteg,51.6088841,-3.6583848
Mosstodloch,57.6255764,-3.1255805
Walton-On-Thames,51.3856837,-0.419814
Tylagwyn,51.5862902,-3.572167
New Arley,52.5047874,-1.5697679
Whitehouse Lower,52.0698446,1.1365029
Warwick,52.2814519,-1.5815742
Parkgate,53.2971886,-3.0836187
Beccles,52.4583779,1.5622924
Prey Heath,51.2905261,-0.5783965
Napton On The Hill,52.2456692,-1.3207064
Ousden,52.2079711,0.5433546
Oxted,51.2566507,-0.0041977
Moss-Side,53.4547635,-2.2442531
Oulton Broad,52.4749845,1.7086107
Preston Bagot,52.2880201,-1.7473422
Horsham,51.0630273,-0.3295028
Newcastle,54.9738474,-1.6131572
Comber,54.5498342,-5.7454313
Talbot Green,51.5364126,-3.3867954
Nowton,52.2150263,0.7317251
Pembridge,52.2186352,-2.8928778
Newbridge,53.1801492,-6.7981931
