Dataset,RMSE,MAE,R2
Train,0.01584852571378104,0.0109243592827499,0.9622507930272503
Validation,0.014933890726180604,0.010434821940502815,0.9688166945424479
Test,0.015566777257203318,0.011366612707292771,0.9621942467022792
